medcodeid,allcancer_term
155483017,Malignant neoplasm of radius
155641018,Malignant neoplasm of ulna
729541000006117,Malig neop of scapula and long bones of upper arm NOS
403697014,Malignant neoplasm of hand bones
380146015,Malignant neoplasm of metacarpal bones
288909018,Malignant neoplasm of carpal bone - scaphoid
288910011,Malignant neoplasm of carpal bone - lunate
288921019,Malignant neoplasm of fifth metacarpal bone
288922014,Malignant neoplasm of phalanges of hand
288923016,Malignant neoplasm of hand bones NOS
288924010,"Malignant neoplasm of pelvic bones, sacrum and coccyx"
155294016,Malignant neoplasm of ilium
155308013,Malignant neoplasm of ischium
155479017,Malignant neoplasm of pubis
288928013,Malignant neoplasm of sacral vertebra
288929017,Malignant neoplasm of coccygeal vertebra
2549374014,Malignant sacral teratoma
288930010,"Malignant neoplasm of pelvis, sacrum or coccyx NOS"
288931014,Malignant neoplasm of long bones of leg
155246015,Malignant neoplasm of femur
155247012,Malignant neoplasm of fibula
155624015,Malignant neoplasm of tibia
288935017,Malignant neoplasm of long bone of lower limb
155604019,Malignant neoplasm of talus
288941012,Malignant neoplasm of calcaneum
288942017,Malignant neoplasm of medial cuneiform
288947011,Malignant neoplasm of first metatarsal bone
288950014,Malignant neoplasm of fourth metatarsal bone
288952018,Malignant neoplasm of phalanges of foot
288953011,Malignant neoplasm of short bones of leg NOS
720031000006110,Malignant neoplasm/overlap lesion/bone+articulr cartilage
720021000006112,"Malignant neoplasm/bones+articular cartilage/limb,unspfd"
288959010,Malignant neoplasm of bone and articular cartilage
2164653019,Osteosarcoma
288960017,Malignant neoplasm of connective and other soft tissue
729361000006113,"Malig neop of connective and soft tissue head, face and neck"
1228565015,Malignant neoplasm of soft tissue of head
1228566019,Malignant neoplasm of soft tissue of face
1228567011,Malignant neoplasm of soft tissue of neck
288962013,Malignant neoplasm of cartilage of ear
288963015,Malignant neoplasm of tarsus of eyelid
730031000006113,"Malig neop connective and soft tissue head, face, neck NOS"
729291000006111,Malignant neoplasm of connective and soft tissue of upper limb and shoulder
288967019,Malignant neoplasm of connective and soft tissue of shoulder
288968012,"Malignant neoplasm of connective and soft tissue, upper arm"
288969016,Malignant neoplasm of connective and soft tissue of fore-arm
288970015,Malignant neoplasm of connective and soft tissue of hand
288971016,Malignant neoplasm of connective and soft tissue of finger
288972011,Malignant neoplasm of connective and soft tissue of thumb
729401000006115,Malignant neoplasm of connective and soft tissue of hip and lower limb
288975013,Malignant neoplasm of connective and soft tissue of hip
729451000006116,Malignant neoplasm of connective and soft tissue of thigh and upper leg
730251000006110,Malignant neoplasm of connective and soft tissue of popliteal space
729421000006113,Malignant neoplasm of connective and soft tissue of lower leg
288979019,Malignant neoplasm of connective and soft tissue of foot
288980016,Malignant neoplasm of connective and soft tissue of toe
730241000006113,Malig neop connective and soft tissue hip and leg NOS
288985014,Malignant neoplasm of connective and soft tissue of thorax
288986010,Malignant neoplasm of connective and soft tissue of axilla
155209019,Malignant neoplasm of diaphragm
155272012,Malignant neoplasm of great vessels
728491000006116,Malignant neoplasm of connective and soft tissues of thoracic spine
729441000006118,Malig neop of connective and soft tissue of thorax NOS
288991011,Malignant neoplasm of connective and soft tissue of abdomen
729381000006115,Malignant neoplasm of connective and soft tissue of abdominal wall
